NVDA - NVIDIA CORP Last Trade $185.27 as of 12/8/2025 1:42:48 PM
12/08/2025 01:42:58 PM ET

"Expiration Date","Symbol","Open Int","Bid","Ask","Delta","Gamma","Theta","Intrinsic Value","Strike","Symbol","Open Int","Bid","Ask","Delta","Gamma","Theta","Intrinsic Value"
"12/12/2025","","--","--","--","--","--","--","--","","","--","--","--","--","--","--","--"
"12/12/2025","NVDA251212C50","35","135.05","135.45","1.00","0.00","0.00","135.435","50","NVDA251212P50","962","0.00","0.01","0.00","0.00","0.00","0.00"
"12/12/2025","NVDA251212C55","18","130.00","130.45","1.00","0.00","0.00","130.375","55","NVDA251212P55","909","0.00","0.01","0.00","0.00","0.00","0.00"
"12/12/2025","NVDA251212C60","30","125.00","125.65","1.00","0.00","0.00","125.325","60","NVDA251212P60","25","0.00","0.01","0.00","0.00","0.00","0.00"
"12/12/2025","NVDA251212C65","11","119.50","120.45","1.00","0.00","0.00","120.435","65","NVDA251212P65","47","0.00","0.01","0.00","0.00","0.00","0.00"
"12/12/2025","NVDA251212C70","46","114.55","115.45","1.00","0.00","0.00","115.2808","70","NVDA251212P70","116","0.00","0.01","0.00","0.00","0.00","0.00"
"12/12/2025","NVDA251212C75","11","109.50","111.80","1.00","0.00","0.00","110.325","75","NVDA251212P75","446","0.00","0.01","0.00","0.00","-0.0002","0.00"
"12/12/2025","NVDA251212C80","20","104.70","105.55","0.9999","0.00","0.00","105.355","80","NVDA251212P80","4541","0.00","0.01","-0.0001","0.00","-0.0005","0.00"
"12/12/2025","NVDA251212C85","28","99.60","100.60","0.9998","0.00","0.00","100.355","85","NVDA251212P85","3557","0.00","0.01","-0.0002","0.00","-0.0017","0.00"
"12/12/2025","NVDA251212C90","20","95.05","95.45","0.9995","0.00","0.00","95.245","90","NVDA251212P90","8616","0.00","0.01","-0.0005","0.00","-0.0044","0.00"
"12/12/2025","NVDA251212C95","16","90.10","91.20","0.9995","0.0001","0.00","90.3254","95","NVDA251212P95","10704","0.00","0.01","-0.0005","0.0001","-0.0044","0.00"
"12/12/2025","NVDA251212C100","146","84.50","85.75","0.9995","0.0001","0.00","85.325","100","NVDA251212P100","14555","0.00","0.01","-0.0005","0.0001","-0.0044","0.00"
"12/12/2025","NVDA251212C105","122","80.10","81.80","0.9994","0.0001","0.00","80.245","105","NVDA251212P105","10945","0.00","0.01","-0.0006","0.0001","-0.0044","0.00"
"12/12/2025","NVDA251212C110","210","75.15","76.15","0.9994","0.0001","0.00","75.325","110","NVDA251212P110","9547","0.00","0.01","-0.0006","0.0001","-0.0044","0.00"
"12/12/2025","NVDA251212C115","144","70.15","71.25","0.9993","0.0001","0.00","70.435","115","NVDA251212P115","3879","0.00","0.01","-0.0007","0.0001","-0.0044","0.00"
"12/12/2025","NVDA251212C120","130","64.90","66.80","0.9993","0.0001","0.00","65.245","120","NVDA251212P120","3574","0.00","0.01","-0.0007","0.0001","-0.0044","0.00"
"12/12/2025","NVDA251212C125","70","60.20","61.10","0.9985","0.0002","-0.001","60.3254","125","NVDA251212P125","2481","0.00","0.02","-0.0015","0.0002","-0.0084","0.00"
"12/12/2025","NVDA251212C130","388","55.10","55.80","0.9978","0.0003","-0.0054","55.325","130","NVDA251212P130","9044","0.01","0.02","-0.0022","0.0003","-0.0122","0.00"
"12/12/2025","NVDA251212C135","30","50.15","51.20","0.9976","0.0004","-0.006","50.435","135","NVDA251212P135","7599","0.01","0.02","-0.0025","0.0004","-0.0122","0.00"
