NVDA - NVIDIA CORP Last Trade $185.5301 as of 12/2/2025 10:01:50 AM
12/02/2025 10:02:12 AM ET

"Expiration Date","Symbol","Open Int","Bid","Ask","Delta","Gamma","Theta","Intrinsic Value","Strike","Symbol","Open Int","Bid","Ask","Delta","Gamma","Theta","Intrinsic Value"
"12/05/2025","","--","--","--","--","--","--","--","","","--","--","--","--","--","--","--"
"12/05/2025","NVDA251205C75","100","108.95","111.45","1.00","0.00","0.00","110.4847","75","NVDA251205P75","108","0.00","0.01","0.00","0.00","0.00","0.00"
"12/05/2025","NVDA251205C70","29","113.95","117.00","1.00","0.00","0.00","115.46","70","NVDA251205P70","66","0.00","0.01","0.00","0.00","0.00","0.00"
"12/05/2025","NVDA251205C65","17","118.90","120.70","1.00","0.00","0.00","120.435","65","NVDA251205P65","90","0.00","0.01","0.00","0.00","0.00","0.00"
"12/05/2025","NVDA251205C60","11","124.65","125.70","1.00","0.00","0.00","125.38","60","NVDA251205P60","61","0.00","0.01","0.00","0.00","0.00","0.00"
"12/05/2025","NVDA251205C55","21","129.60","130.65","1.00","0.00","0.00","130.46","55","NVDA251205P55","325","0.00","0.01","0.00","0.00","0.00","0.00"
"12/05/2025","NVDA251205C50","82","134.50","135.65","1.00","0.00","0.00","135.5201","50","NVDA251205P50","9","0.00","0.01","0.00","0.00","0.00","0.00"
"12/05/2025","NVDA251205C80","12","103.95","106.00","1.00","0.00","0.00","105.54","80","NVDA251205P80","131","0.00","0.01","0.00","0.00","0.00","0.00"
"12/05/2025","NVDA251205C90","59","94.70","95.70","0.9999","0.00","0.00","95.435","90","NVDA251205P90","5300","0.00","0.01","-0.0001","0.00","-0.0005","0.00"
"12/05/2025","NVDA251205C85","66","99.65","100.75","0.9999","0.00","0.00","100.4847","85","NVDA251205P85","193","0.00","0.01","0.00","0.00","-0.0001","0.00"
"12/05/2025","NVDA251205C95","56","89.65","90.85","0.9998","0.00","0.00","90.5201","95","NVDA251205P95","17246","0.00","0.01","-0.0002","0.00","-0.0017","0.00"
"12/05/2025","NVDA251205C100","114","83.95","86.00","0.9994","0.0001","0.00","85.5201","100","NVDA251205P100","14337","0.00","0.01","-0.0005","0.0001","-0.0047","0.00"
